what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350846026878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350846059261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350846059334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350846062301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350846062382
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350846142693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350846147411
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350846151143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350846160357
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350846160429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350846161357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350846172052
error,log,,,"Internal Error",1350846176640
error,log,,,"Internal Error",1350846179159
error,log,,,"Internal Error",1350846180399
started,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1350846184345
started,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1350846184353
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1350846184362
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1350846184434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350846184458
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1350846184474
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1350846186393
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1350846187019
